[2023-01-21 01:18:54] [WARNING]: 语音文件 1b8374ea5112fd72aa82fc47fdc52750.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 01:21:32] [WARNING]: 语音文件 4bd658d8c249ad4ddcd86bdaa9445ee0.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 01:21:58] [WARNING]: 语音文件 8d7de0b0f7fbca5e4b46932f5388a491.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 15:03:02] [WARNING]: 监听反向WS Universal时出现错误: websocket: close 1006 (abnormal closure): unexpected EOF 
[2023-01-21 15:03:04] [WARNING]: 向反向WS Universal服务器推送 Event 时出现错误: write tcp 127.0.0.1:10843->127.0.0.1:1602: wsasend: An established connection was aborted by the software in your host machine. 
[2023-01-21 15:03:09] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:15] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:20] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:25] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:30] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:35] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:40] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:45] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:50] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:03:55] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:04:01] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:06:54] [WARNING]: 语音文件 5A1523D22ED1AD99180CA55D1214B15D.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 15:09:24] [WARNING]: 语音文件 BA33C89B6A8A3E7A0D1D719874A2C786.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 15:10:55] [WARNING]: 语音文件 E1DF20C149D464FB9FDEF0C2CDB1C25A.amr 下载失败: Get "http://grouptalk.c2c.qq.com": EOF 
[2023-01-21 15:18:32] [WARNING]: 监听反向WS Universal时出现错误: websocket: close 1006 (abnormal closure): unexpected EOF 
[2023-01-21 15:18:37] [WARNING]: 向反向WS Universal服务器推送 Event 时出现错误: write tcp 127.0.0.1:12429->127.0.0.1:1602: use of closed network connection 
[2023-01-21 15:18:42] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:18:48] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:18:53] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:18:58] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:03] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:08] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:13] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:19] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:24] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:29] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:34] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:39] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:45] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:50] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:19:55] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:00] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:05] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:10] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:16] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
[2023-01-21 15:20:21] [WARNING]: 连接到反向WebSocket Universal服务器 ws://127.0.0.1:1602/onebot/v11/ws 时出现错误: dial tcp 127.0.0.1:1602: connectex: No connection could be made because the target machine actively refused it. 
